link,brand,name,category,weight_value,weight_unit,current_price,original_price
/p/damske-lezecky-la-sportiva-theory-woman/#37-cerna-cervena,La Sportiva,Theory Woman,Dámské lezečky,360.0,g,3479.0,3899.0
/p/lezecky-red-chili-fusion-ii/#37-5-svetle-zelena-tmave-zelena,Red Chili,Fusion II,Lezečky,520.0,g,2699.0,2999.0
/p/lezecky-scarpa-vapor-v-lv/#35-5-seda-cervena,Scarpa,Vapor V LV,Lezečky,480.0,g,3939.0,4150.0
/p/lezecky-scarpa-drago/#35-5-cerna-zluta,Scarpa,Drago,Lezečky,,,4169.0,4390.0
/p/lezecky-scarpa-furia-air/#35-5-modra-zluta,Scarpa,Furia Air,Lezečky,,,4269.0,4490.0
/p/lezecky-eb-climbing-jarvis/#36-5-cervena,EB Climbing,Jarvis,Lezečky,430.0,g,3289.0,3649.0
/p/lezecky-scarpa-instinct-vsr/#35-cerna-modra,Scarpa,Instinct Vsr,Lezečky,,,4269.0,4490.0
/p/lezecky-ocun-striker-qc/#36-svetla-zelena-cerna,Ocún,Striker Qc,Lezečky,418.0,g,1669.0,1990.0
/p/detske-lezecky-la-sportiva-stickit/#26-zluta-zelena,La Sportiva,Stickit,Dětské lezečky,440.0,g,1229.0,1399.0
/p/lezecky-ocun-striker-lu-2025/#37-5-svetla-zelena-cerna,Ocún,Striker Lu (2025),Lezečky,409.0,g,1679.0,1789.0
/p/lezecky-ocun-ozone-hv/#37-5-modra,Ocún,Ozone HV,Lezečky,480.0,g,2629.0,3290.0
/p/lezecky-tenaya-indalo/#34-9-svetle-modra,Tenaya,Indalo,Lezečky,340.0,g,4129.0,4490.0
/p/lezecky-tenaya-ra/#39-4-oranzova,Tenaya,Ra,Lezečky,680.0,g,3309.0,3599.0
/p/lezecky-red-chili-spirit-lv-iv/#37-5-cerna-tyrkysova,Red Chili,Spirit LV IV,Lezečky,480.0,g,2519.0,2799.0
/p/lezecky-ocun-iris/#34-cerna-cervena,Ocún,Iris,Lezečky,400.0,g,2259.0,2690.0
/p/lezecky-red-chili-voltage-lv-ii/#37-5-seda-cervena,Red Chili,Voltage LV II,Lezečky,237.0,g,3599.0,3999.0
/p/lezecky-tenaya-mundaka/#38-8-zelena,Tenaya,Mundaka,Lezečky,680.0,g,3859.0,4199.0
/p/lezecky-tenaya-mastia/#38-1-modra,Tenaya,Mastia,Lezečky,680.0,g,3959.0,4299.0
/p/lezecky-tenaya-iati/#36-8-cervena,Tenaya,Iati,Lezečky,680.0,g,3769.0,4099.0
/p/lezecky-tenaya-ra-woman/#38-8-svetle-modra,Tenaya,Ra Woman,Lezečky,680.0,g,3309.0,3599.0
/p/lezecky-eb-climbing-strange/#35-5-cerna-oranzova,EB Climbing,Strange,Lezečky,,,2569.0,3249.0
/p/lezecky-la-sportiva-skwama/#45-cerna-cervena,La Sportiva,Skwama,Lezečky,,,3609.0,3899.0
/p/lezecky-evolv-zenist/#39-5-cerna-bila,Evolv,Zenist,Lezečky,520.0,g,3555.0,3950.0
/p/lezecky-eb-climbing-balboa/#35-5-cerna-oranzova,EB Climbing,Balboa,Lezečky,,,3379.0,3749.0
/p/lezecky-tenaya-oasi/#34-9-modra,Tenaya,Oasi,Lezečky,680.0,g,3679.0,3999.0
/p/lezecky-tenaya-tarifa/#36-2-zluta,Tenaya,Tarifa,Lezečky,680.0,g,3679.0,3999.0
/p/damske-lezecky-la-sportiva-otaki-woman/#35-5-seda-zluta,La Sportiva,Otaki Woman,Dámské lezečky,470.0,g,3609.0,4199.0
/p/lezecky-la-sportiva-miura-vs-woman/#36-5-bila-cervena,La Sportiva,Miura VS Woman,Lezečky,440.0,g,3319.0,3899.0
/p/damske-lezecky-la-sportiva-miura-women/#36-5-bila-zelena,La Sportiva,Miura Women,Dámské lezečky,446.0,g,3099.0,3699.0
/p/lezecky-eb-climbing-red/#43-cerna-cervena,EB Climbing,Red,Lezečky,,,2519.0,2999.0
/p/lezecky-eb-climbing-django/#35-5-cerna-modra,EB Climbing,Django,Lezečky,430.0,g,2639.0,3399.0
/p/lezecky-tenaya-oasi-lv/#34-3-svetle-modra,Tenaya,Oasi LV,Lezečky,680.0,g,3679.0,3999.0
/p/lezecky-la-sportiva-otaki-2024/#38-5-modra-seda,La Sportiva,Otaki 2024,Lezečky,540.0,g,3719.0,4199.0
/p/lezecky-tenaya-masai/#39-4-zluta,Tenaya,Masai,Lezečky,680.0,g,3069.0,3339.0
/p/lezecky-la-sportiva-theory-2024/#39-5-cerna-zluta,La Sportiva,Theory 2024,Lezečky,,,3589.0,3999.0
/p/lezecky-la-sportiva-tarantula/#34-5-modra,La Sportiva,Tarantula,Lezečky,490.0,g,1999.0,2399.0
/p/detske-lezecky-ocun-rival/#33-zluta-cerna,Ocún,Rival,Dětské lezečky,320.0,g,1509.0,1790.0
/p/lezecky-la-sportiva-miura-20j/#37-5-cerna-zluta,La Sportiva,Miura (20J),Lezečky,490.0,g,3149.0,3699.0
/p/detske-lezecky-la-sportiva-stickit/#28-cervena,La Sportiva,Stickit,Dětské lezečky,440.0,g,1219.0,1399.0
/p/damske-lezecky-la-sportiva-skwama-women-2024/#38-zluta-bila,La Sportiva,Skwama Women 2024,Dámské lezečky,420.0,g,3339.0,3899.0
/p/damske-lezecky-evolv-elektra/#34-5-seda-cervena,Evolv,Elektra,Dámské lezečky,,,1819.0,2021.0
/p/lezecky-la-sportiva-testarossa/#43-5-cervena,La Sportiva,Testarossa,Lezečky,420.0,g,3539.0,4199.0
/p/lezecky-eb-climbing-electron/#36-cerna-zelena,EB Climbing,Electron,Lezečky,,,2029.0,2499.0
/p/damske-lezecky-la-sportiva-solution-women-2024/#34-5-oranzova,La Sportiva,Solution Women 2024,Dámské lezečky,450.0,g,3569.0,3999.0
/p/lezecky-la-sportiva-ondra-comp/#42-5-cerna-zluta,La Sportiva,Ondra Comp,Lezečky,420.0,g,3939.0,4499.0
/p/damske-lezecky-la-sportiva-skwama-woman/#36-zluta-modra,La Sportiva,Skwama Woman,Dámské lezečky,420.0,g,3429.0,3899.0
/p/lezecky-ocun-striker-lu-2025/#37-5-ruzova-cerna,Ocún,Striker Lu (2025),Lezečky,409.0,g,1679.0,1789.0
/p/lezecky-la-sportiva-miura-vs-40f/#37-5-cerna-zluta,La Sportiva,Miura VS 40F,Lezečky,,,3239.0,3899.0
/p/lezecky-scarpa-drago-lv/#35-5-cerna-bila,Scarpa,Drago Lv,Lezečky,,,4169.0,4390.0
/p/lezecky-scarpa-instinct-vsr-lv/#35-5-cerna-fialova,Scarpa,Instinct Vsr Lv,Lezečky,,,4269.0,4490.0
/p/lezecky-la-sportiva-tarantula/#34-5-cerna-cervena,La Sportiva,Tarantula,Lezečky,490.0,g,1999.0,2399.0
/p/lezecky-la-sportiva-tarantulace/#39-cerna,La Sportiva,Tarantulace,Lezečky,540.0,g,2039.0,2299.0
/p/detske-lezecky-ocun-ribbit/#24-25-ruzova-cerna,Ocún,Ribbit,Dětské lezečky,340.0,g,1169.0,1390.0
/p/lezecky-la-sportiva-tarantula-2023/#34-5-modra,La Sportiva,Tarantula 2023,Lezečky,490.0,g,2149.0,2299.0
/p/damske-lezecky-la-sportiva-tarantula-woman/#36-5-modra,La Sportiva,Tarantula Woman,Dámské lezečky,470.0,g,1999.0,2399.0
/p/lezecky-la-sportiva-solution-2024/#38-5-zluta-bila,La Sportiva,Solution 2024,Lezečky,510.0,g,3659.0,3999.0
/p/lezecky-ocun-ozone-plus-qc/#37-zluta,Ocún,Ozone Plus QC,Lezečky,480.0,g,2279.0,2489.0
/p/lezecky-la-sportiva-skwama-2024/#36-5-cerna-zluta,La Sportiva,Skwama 2024,Lezečky,420.0,g,3469.0,3899.0
/p/lezecky-la-sportiva-katana/#38-5-zluta-cerna,La Sportiva,Katana,Lezečky,450.0,g,3079.0,3499.0
/p/lezecky-ocun-ozone-lady-qc/#36-cervena,Ocún,Ozone Lady QC,Dámské lezečky,460.0,g,2219.0,2489.0
/p/lezecky-ocun-oxi-lady/#37-5-bila,Ocún,Oxi Lady,Lezečky,464.0,g,1909.0,2089.0
/p/lezecky-ocun-ozone-qc/#37-5-zluta,Ocún,Ozone QC,Lezečky,480.0,g,2339.0,2489.0
/p/lezecky-evolv-defy-lace/#37-seda,Evolv,Defy Lace,Lezečky,,,1993.0,2214.0
/p/lezecky-la-sportiva-theory-2023/#44-5-cerna-zluta,La Sportiva,Theory 2023,Lezečky,400.0,g,3549.0,3999.0
/p/lezecky-la-sportiva-python/#36-5-fialova,La Sportiva,Python,Lezečky,440.0,g,3079.0,3399.0
/p/lezecky-ocun-oxi-lu/#37-5-zluta-zelena,Ocún,Oxi LU,Lezečky,448.0,g,1819.0,2089.0
